OrderID,Quantity,UnitPrice(USD),Status,OrderDate,Product_Category,Sales_Manager,Shipping_Cost(USD),Delivery_Time(Days),Shipping_Address,Product_Code
29511,92,238,Not Delivered,2021-08-08,Healthcare,Pablo,21,25,Singapore,HC-188
21819,61,136,Not Delivered,2021-10-03,Office,Pablo,34,14,UK,O-555
32391,67,235,Not Delivered,2021-09-27,Office,Kristen,25,11,Kenya,O-188
11126,33,133,Not Shipped,2021-07-30,Fashion,Abdul,34,24,USA,F-555
15483,13,189,Not Delivered,2021-08-15,Fashion,Stella,24,19,Kenya,F-555
49348,51,204,Not Delivered,2021-11-13,Entertainment,Abdul,32,18,UK,ENT-188
27504,73,242,Not Delivered,2021-07-08,Healthcare,Emma,34,10,UK,HC-555
47975,48,240,Delivered,2021-10-04,Fashion,Abdul,22,21,Kenya,F-203
28041,31,163,Not Shipped,2021-12-23,Fashion,Abdul,34,16,Kenya,F-901
17359,62,214,Not Delivered,2021-08-14,Fashion,John,22,17,Germany,F-901
43372,57,226,Not Shipped,2021-09-27,Home,John,24,14,UK,H-555
25960,44,246,Delivered,2021-07-11,Office,Stella,20,12,Kenya,O-555
38823,78,219,Delivered,2021-10-29,Entertainment,Emma,24,19,USA,ENT-901
45836,46,208,Not Shipped,2021-07-28,Home,Jacob,29,19,UK,H-188
25599,55,233,Not Delivered,2021-07-15,Healthcare,Kristen,25,18,India,HC-555
14448,5,119,Not Shipped,2021-10-13,Office,Stella,33,20,India,O-555
28088,96,115,Delivered,2021-10-17,Home,Jacob,30,25,Kenya,H-901
19325,62,237,Delivered,2021-08-24,Fashion,Stella,32,13,Italy,F-203
31051,79,213,Delivered,2021-10-26,Home,Abdul,27,14,China,H-203
42764,83,224,Not Delivered,2021-07-10,Healthcare,Sofia,24,24,Kenya,HC-203
24690,15,156,Shipped,2021-12-13,Entertainment,Pablo,29,19,Germany,ENT-101
40304,21,123,Not Delivered,2021-10-10,Entertainment,Kristen,30,15,India,ENT-188
21115,74,250,Delivered,2021-12-08,Healthcare,Maria,25,21,Italy,HC-901
36293,78,155,Delivered,2021-12-02,Entertainment,Anthony,35,12,China,ENT-188
35093,8,119,Shipped,2021-11-01,Healthcare,Jacob,32,10,UK,HC-188
30637,100,173,Not Delivered,2021-12-22,Office,Jacob,21,23,Germany,O-630
29584,53,141,Shipped,2021-10-29,Home,Pablo,34,18,Italy,H-203
49561,1,154,Not Shipped,2021-10-04,Fashion,Pablo,26,23,China,F-555
30918,45,211,Delivered,2021-09-15,Entertainment,Emma,34,14,Germany,ENT-630
33485,1,212,Delivered,2021-12-18,Home,Sofia,31,24,Kenya,H-203
14089,7,130,Delivered,2021-07-04,Healthcare,Sofia,20,,UK,HC-630
39979,61,134,Shipped,2021-07-03,Entertainment,Anthony,33,16,Kenya,ENT-901
18591,22,155,Shipped,2021-08-14,Home,Jacob,35,13,Kenya,H-203
32555,96,202,Delivered,2021-08-20,Office,Anthony,22,24,Italy,O-555
40970,72,200,Delivered,2021-12-12,Fashion,Emma,28,16,UK,F-555
26655,4,219,Shipped,2021-12-18,Office,Stella,33,17,Germany,O-901
42737,97,202,Shipped,2021-07-04,Fashion,Anthony,23,22,Italy,F-203
39710,21,245,Delivered,2021-10-04,Home,Sofia,26,16,Germany,H-101
19085,15,160,Shipped,2021-10-04,Home,Kristen,21,16,UK,H-555
30927,91,129,Not Shipped,2021-11-21,Home,Anthony,25,25,Italy,H-555
33533,68,224,Not Shipped,2021-12-30,Healthcare,Anthony,31,23,Singapore,HC-188
44738,10,230,Not Delivered,2021-11-01,Healthcare,Jacob,31,12,Kenya,HC-101
39773,11,212,Not Shipped,2021-09-02,Home,Stella,26,18,China,H-101
27064,3,156,Shipped,2021-07-16,Entertainment,Jacob,30,11,Germany,ENT-630
15595,94,123,Delivered,2021-11-15,Fashion,Maria,22,12,UK,F-630
31995,49,220,Not Shipped,2021-12-06,Healthcare,Jacob,32,19,Italy,HC-901
38477,23,225,Not Shipped,2021-11-27,Healthcare,Kristen,24,12,India,HC-901
20972,62,216,Delivered,2021-10-09,Home,Emma,20,10,India,H-188
49830,13,228,Shipped,2021-10-13,Office,Maria,28,18,Singapore,O-555
46238,9,207,Shipped,2021-10-20,Home,Pablo,32,21,UK,H-203
10309,7,152,Not Shipped,2021-10-19,Fashion,Maria,32,12,Singapore,F-630
47304,38,224,Delivered,2021-07-07,Fashion,Emma,30,24,Germany,F-630
21860,31,141,Not Shipped,2021-10-26,Fashion,Emma,24,18,USA,F-901
13674,96,169,Shipped,2021-10-07,Home,Emma,23,12,China,H-901
48615,100,237,Shipped,2021-10-03,Office,John,25,13,Italy,O-101
43714,73,191,Not Delivered,2021-11-16,Healthcare,Jacob,33,15,USA,HC-630
35946,1,196,Delivered,2021-11-11,Healthcare,John,35,21,USA,HC-188
25850,23,143,Delivered,2021-08-24,Office,Jacob,27,17,Germany,O-188
35358,12,223,Not Delivered,2021-12-10,Healthcare,Emma,29,16,UK,HC-630
45745,7,244,Not Shipped,2021-10-04,Home,John,33,12,India,H-203
34825,65,238,Not Delivered,2021-10-17,Entertainment,Emma,26,16,USA,ENT-101
22765,74,238,Not Shipped,2021-09-18,Healthcare,Pablo,30,16,India,HC-555
40167,62,176,Not Delivered,2021-10-29,Office,Anthony,21,22,Germany,O-101
24917,52,243,Shipped,2021-09-16,Office,Kristen,21,18,Germany,O-630
19996,50,197,Delivered,2021-08-27,Home,Sofia,30,15,Germany,H-630
44975,79,131,Delivered,2021-08-18,Entertainment,Anthony,22,10,Singapore,ENT-203
18285,57,246,Not Delivered,2021-10-18,Entertainment,Kristen,23,23,Singapore,ENT-188
27582,40,198,Not Delivered,2021-10-20,Fashion,Abdul,33,15,Germany,F-901
